File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,SD2,SD1_SD2 Ratio,APD 20 (ms),APD 50 (ms),APD 80 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18712010,-78.2289945357677,58.914995884835,137.143990420603,362.136338341427,-54.6999961792499,0.028284271247462,0.386444444444444,0.0731910411808964,0.609999999999999,3.56,13.21,19.32,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712017,-73.9149948370971,54.3149962061413,128.229991043238,365.099974498069,-29.3499979499266,0.0636396103067895,0.7345,0.0866434449377665,1.1,6.14,26.39,36.76,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712021,-69.0399951776119,63.549995561084,132.589990738696,349.599975580731,-38.5499973073118,0.0707106781186551,0.656222222222222,0.107754165775126,1.32,7.84,23.87,32.8,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712026,-74.0784948256768,55.884996096478,129.963490922155,358.099974987012,-16.4999988474882,0.0259272486435064,0.610277777777778,0.0424843400621863,2.88,10.95,24.32,30.5,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712032,-74.160494819949193,52.8549963081211,127.01549112807,339.849976261748,-12.2999991408551,0.117851130197758,0.976222222222222,0.12072162210105,4.64,19.36,40.4,48.91,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712036,-72.979494902441,64.0299955275564,137.009490429997,359.399974896205,-44.0499969231441,0.047140452079103,0.723,0.0652011785326459,2.04,11.58,28.24,36.17,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712040,-74.7749947770268,59.3399958551491,134.114990632176,383.449973216323,-32.5999977229162,0.0329983164553722,0.465888888888889,0.0708287259953136,1.04,5.1,16.12,23.32,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18712044,-72.2909949505322,68.774995196122,141.065990146654,297.799979198907,-54.949996161787404,0.0636396103067893,0.732611111111111,0.0868668374552369,0.699999999999999,7.92,26.56,36.55,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713000,-76.7649946380269,61.414995710212,138.179990348239,530.249962962472,-47.5999966751796,0.0329983164553729,0.452555555555555,0.0729155040752164,1.26,7.57,17.9,22.64,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713004,-73.1684948892396,62.6499956239483,135.818490513188,446.649968801858,-29.5999979324643,0.172062650088727,1.25338888888889,0.13727794431085,3.98,27.04,53.39,62.69,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713008,-76.8889633793678,61.1799957266266,138.068959105994,511.649964261655,-34.1999976111583,0.0494974746830585,0.558166666666666,0.08867866470539,2.25,12.47,24,27.92,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713012,-75.4354947308914,65.6149954168454,141.050490147737,465.64996747472,-56.4499960570132,0.0259272486435064,0.410055555555555,0.063228624249169,0.609999999999998,3.46,14.31,20.52,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713017,-75.9714946934523,71.5449950026397,147.516489696092,244.199982942833,-95.9999932944792,0.0895668589502963,0.685555555555555,0.130648578695732,0.469999999999997,3.13,25.2,34.3,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713021,-75.6169947182138,78.0749945465245,153.691989264738,328.14997707899,-96.1999932805072,0.136707311029399,0.623111111111111,0.219394757358165,0.460000000000003,3.38,20.66,31.27,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18713025,-80.5744943719365,64.2349955132373,144.809489885174,378.749973544615,-66.8999953270885,0.0282842712474621,0.463666666666667,0.0610013039125711,0.550000000000002,3.71,14.91,23.16,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18716001,-79.9974944122394,50.5899964663295,130.587490878569,228.849984015018,-39.2727245295599,0.0872098363463406,0.7445,0.117138799659289,1.1,6.85,27.62,37.25,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18716005,-84.3124941108402,55.3849961314026,139.697490242243,387.99997289851,-33.6363612868911,0.0235702260395516,0.355666666666667,0.0662705511889923,0.909999999999999,4.31,12.48,17.8,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18716009,-80.3824943853475,76.6949946429164,157.077489028264,0.574999959836813,-90.7999936576955,0.0730677007226103,0.581277777777778,0.125701864953358,0.55,5.2,20.29,29.06,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18716016,-77.5174945854654,61.0099957385009,138.527490323966,426.899970181375,-28.5909070938572,0.0400693842672383,0.583277777777778,0.0686969155929411,1.1,5.18,20.06,29.16,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18716020,-87.499462638233,59.3349958554983,146.834458493731,366.349974410747,-54.999996158294,0.0235702260395518,0.365111111111111,0.0645563099074759,0.669999999999999,3.75,11.77,18.25,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18716023,-81.9989942724363,63.3899955722599,145.388989844696,346.99997576233,-67.3499952956571,0.0400693842672378,0.546944444444444,0.0732604283199878,0.579999999999998,3.88,18.39,27.36,RN_CTR_DMSO_1Hz,RN,CTR,DMSO,1Hz
18711001,-74.7249635305215,62.654995623599,137.379959154121,190.249986711189,-53.399996270052704,0.0471404520791033,0.639888888888889,0.0736697462601025,0.690000000000001,7.94,22.41,31.97,RN_CTR_DMSO_2Hz,RN,CTR,DMSO,2Hz
