File Name,Ediast (mV),Peak (mV),APA (mV),dV/dt max y (V/s),Negative dV/dt max y (V/s),SD1,APD 20 (ms),APD 50 (ms),APD 90 (ms),Folder,Condition 1,Condition 2,Condition 3,Condition 4
18711069,-72.4806,,127.091,358.8013306,,0.162993164,,4.47271,23.7077,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712047,-72.592,,125.302,358.399,,,,7.213,28.184,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712051,-75.951,,129.151,339,,0.162961622,,5.72,22.86,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712055,-73.514,,131.884,384.8,,0.386957058,,11.4,30,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712059,-68.9639,,124.0222168,317.084137,,0.505069647,,13.9315,43.50333,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712064,-74.4269,,135.8268738,361.9986023,,0.428168561,,12.6877,33.259,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18712068,-71.422,,124.322,303.799,,,,3.68,17.48,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18713029,-77.3575,,128.1975,342.9,,0.618814148,,7.08,37.68,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18713031,-78.9342,,130.301,322.4154205,,0.303578866,,9.1517,32.275,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18713036,-74.8765,,132.5065,353.5,,0.47447184,,6.22,30.08,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18713040,-73.11,,132.23,366.4,,0.632856455,,10.82,39.46,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18713042,-75.3953,,131.17,291.3738708,,0.507537766,,10.1782,39.984,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716027,-81.5084,,152.42836,328.5987244,,0.479515452,,7.54462,38.328,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716031,-81.2365,,140.9465,401,,,,2.64,16.66,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716035,-81.106,,140.996,431.3,,0.481880505,,8.64,30.46,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716039,-81.6476,,134.0376,387.3984985,,0.419960074,,9.2264,33.14922,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716044,-84.462,,134.482,395.998,,0.437174217,,8.08,32.26,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716049,-82.9453,,141.5853,416.4983887,,0.328845309,,11.0325,35.135,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
18716053,-78.1034,,151.24341,300.8045654,,0.814446022,,11.4005,51.01907,RN_CTR_2744_1Hz,RN,CTR,2744,1Hz
