"File Name","Folder","Condition 1","Condition 2","Condition 3","Condition 4","variable","value"
"18716006","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-83.1959941888268
"18716010","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-77.540994583824
"18716017","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-77.6599945755119
"18716021","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-88.8749937921533
"18716024","RN_CTR_DMSO_2Hz","RN","CTR","DMSO","2Hz","Ediast (mV)",-82.9549942056605
"18711002","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-79.8799944204467
"18711007","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-73.3119948792162
"18711021","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-78.5329945145336
"18711025","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-77.5559945827762
"18711029","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-78.4779945183753
"18711033","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-76.3719946654777
"18712012","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-78.7749944976301
"18712019","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-76.5549946526953
"18712028","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-74.7219947807288
"18712038","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-73.754994848273
"18713002","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-78.7499944993763
"18713010","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-78.8949944892482
"18713014","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-76.1979946776314
"18713019","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-81.9489942759287
"18713023","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-79.8689944212151
"18713027","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-84.5639940932731
"18716003","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-82.3929942449157
"18716007","RN_CTR_DMSO_4Hz","RN","CTR","DMSO","4Hz","Ediast (mV)",-82.613994229479
