"Time (ms)","Sweep 21. Voltage (mV)","Sweep 22. Voltage (mV)","Sweep 23. Voltage (mV)","Sweep 24. Voltage (mV)","Sweep 25. Voltage (mV)"
864.5,-87.5854450586646,-87.8906208254195,-86.9750935251547,-86.0595662248899,-85.754390458135
865,-87.5854450586646,-87.5854450586646,-86.9750935251547,-86.0595662248899,-85.754390458135
865.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
866,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
866.5,-87.5854450586646,-87.8906208254195,-86.6699177583998,-86.0595662248899,-85.754390458135
867,-87.5854450586646,-87.8906208254195,-86.6699177583998,-86.0595662248899,-85.754390458135
867.5,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
868,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
868.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
869,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
869.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
870,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
870.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
871,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
871.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
872,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
872.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
873,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
873.5,-87.2802692919097,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
874,-87.2802692919097,-87.5854450586646,-86.3647419916449,-86.0595662248899,-85.754390458135
874.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
875,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
875.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-86.0595662248899,-85.754390458135
876,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
876.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
877,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
877.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-86.0595662248899,-85.754390458135
878,-87.2802692919097,-87.5854450586646,-86.3647419916449,-86.0595662248899,-85.754390458135
878.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
879,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
879.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
880,-87.5854450586646,-87.5854450586646,-86.3647419916449,-86.0595662248899,-85.754390458135
880.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-86.0595662248899,-85.754390458135
881,-87.5854450586646,-87.5854450586646,-86.3647419916449,-86.0595662248899,-85.754390458135
881.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
882,-87.5854450586646,-87.5854450586646,-86.6699177583998,-85.754390458135,-85.754390458135
882.5,-87.5854450586646,-87.5854450586646,-86.6699177583998,-85.754390458135,-85.754390458135
883,-87.5854450586646,-87.8906208254195,-86.3647419916449,-85.754390458135,-85.754390458135
883.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
884,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
884.5,-87.5854450586646,-87.8906208254195,-86.6699177583998,-85.754390458135,-85.754390458135
885,-87.5854450586646,-87.8906208254195,-86.6699177583998,-85.754390458135,-85.754390458135
885.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
886,-87.5854450586646,-87.5854450586646,-86.6699177583998,-85.754390458135,-85.4492146913801
886.5,-87.5854450586646,-87.8906208254195,-86.3647419916449,-85.754390458135,-85.754390458135
887,-87.5854450586646,-87.8906208254195,-86.3647419916449,-85.754390458135,-85.754390458135
887.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
888,-87.2802692919097,-87.5854450586646,-86.6699177583998,-85.754390458135,-85.754390458135
888.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
889,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
889.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
890,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
890.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
891,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
891.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
892,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
892.5,-87.5854450586646,-87.8906208254195,-86.3647419916449,-85.754390458135,-85.754390458135
893,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
893.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
894,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
894.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
895,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
895.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
896,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.754390458135
896.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
897,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
897.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
898,-87.2802692919097,-87.2802692919097,-86.3647419916449,-85.754390458135,-85.754390458135
898.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.754390458135
899,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
899.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
900,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
900.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
901,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
901.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
902,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
902.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
903,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
903.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
904,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
904.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
905,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.754390458135
905.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
906,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
906.5,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
907,-87.5854450586646,-87.5854450586646,-86.3647419916449,-85.754390458135,-85.4492146913801
907.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
908,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
908.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.754390458135
909,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
909.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
910,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
910.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
911,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
911.5,-87.2802692919097,-87.5854450586646,-86.3647419916449,-85.4492146913801,-85.4492146913801
