"File Name","Folder","Condition 1","Condition 2","Condition 3","variable","value"
"CellD_27_10_21_0000","27_10_21","27","10","21","APD 50 (ms)",82.8936794582393
"CellE_27_10_21_0000","27_10_21","27","10","21","APD 50 (ms)",71.0664062499999
"CelIJ_07_12_21_0000","07_12_21","07","12","21","APD 90 (ms)",584.569827586208
"CelIL  07_12_21_0000","07_12_21","07","12","21","APD 90 (ms)",285.499572649572
"CelIM 07_12_21_0000","07_12_21","07","12","21","APD 90 (ms)",214.193548387097
"CelIN 07_12_21_0000","07_12_21","07","12","21","APD 90 (ms)",165.000934579439
"CelIO 07_12_21_0000","07_12_21","07","12","21","APD 90 (ms)",184.317713004484
"CelIP 07_12_21_0000","07_12_21","07","12","21","APD 90 (ms)",83.9244827586205
"CelIN 16_12_21_0000","16_12_21","16","12","21","APD 90 (ms)",100.694444444444
"2021_08_14_0000_C2","2021-08-14","2021-08-14",NA,NA,"APD 90 (ms)",142.163924050633
"2021_08_14_0000_C3","2021-08-14","2021-08-14",NA,NA,"APD 90 (ms)",127.401746031746
"2021_08_14_0000_C4","2021-08-14","2021-08-14",NA,NA,"APD 90 (ms)",187.45909090909
"C3 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 90 (ms)",121.158267716535
"C4 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 90 (ms)",131.173270440251
"C5 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 90 (ms)",157.236728395062
"C6 2021_08_16_0000","2021-08-16","2021-08-16",NA,NA,"APD 90 (ms)",175.915536723164
"C6 2021_10_26_0006","2021-10-26","2021-10-26",NA,NA,"APD 90 (ms)",134.597508896797
"C7 2021_10_26_0008","2021-10-26","2021-10-26",NA,NA,"APD 90 (ms)",264.389719626168
"CellA_27_10_21_0000","27_10_21","27","10","21","APD 90 (ms)",127.942020665901
"CellB_27_10_21_0000","27_10_21","27","10","21","APD 90 (ms)",54.7675298804778
"CellD_27_10_21_0000","27_10_21","27","10","21","APD 90 (ms)",112.543453724605
"CellE_27_10_21_0000","27_10_21","27","10","21","APD 90 (ms)",124.627790178571
